RANK,COIN,PRICE ($),1H (%),24H (%),7D (%),24 H VOLUME  ($),MKT CAP ($),CIRCULATING SUPPLY,ATH ($),ATL($),TRADING VOLUME,INITIAL PRICE ($)
130,Anchor Protocol ANC ANC,1.85,0.01,-0.04,-0.14,"32,087,577.00","629,286,015.00","345,317,736 ANC",8.31,0.11,"1,000,000,000 ANC",7.11
906,ANGLE ANGLE ANGLE,0.14,0.00,0.01,-0.06,"127,667.00","16,551,207.00","13,237,881 ANGLE",7.21,0.09,"1,000,000,000 ANGLE",1.03
138,Ankr ANKR ANKR,0.07,0.01,0.01,-0.08,"27,095,591.00","576,076,926.00","8,162,899,378 ANKR",0.23,0.00,"10,000,000,000 ANKR",0.01
339,Ankr Reward-Bearing Staked ETH AETHC AETHC,"2,594.64",0.01,0.01,-0.04,"912,374.00","140,714,720.00","29,330 aETHc","32,076.86",0.00,"29,330.03 aETHc",587.76
948,AntiMatter MATTER MATTER,0.44,0.00,0.03,0.57,"1,813,701.00","14,410,659.00","31,301,449 MATTER",5.99,0.05,"100,000,000 MATTER",1.75
25,ApeCoin APE APE,22.01,-0.01,0.12,0.31,"2,311,073,708.00","6,280,133,319.00","284,843,750 APE",39.40,1.00,"1,000,000,000 APE",7.37
172,APENFT NFT NFT,0.00,0.01,0.01,-0.06,"102,890,099.00","431,876,083.00","277,080,562,500,000 NFT",0.00,0.00,"999,990,000,000,000 NFT",0.00
691,ApeSwap BANANA BANANA,0.31,0.00,0.04,-0.15,"864,282.00","35,998,388.00","105,843,378 BANANA",11.80,0.13,"105,843,378 BANANA",1.31
265,API3 API3 API3,4.02,0.01,0.00,-0.25,"27,623,904.00","209,028,003.00",,10.31,1.24,"110,978,134 API3",2.03
931,Apollo APL APL,0.00,0.00,0.03,-0.04,"978,695.00","15,090,037.00","21,165,096,531 APL",0.06,0.00,"21,165,096,531 APL",0.00
650,Apollo DAO APOLLO APOLLO,1.90,0.03,0.00,0.17,"1,004,871.00","42,058,018.00","5,000,000 APOLLO",2.38,0.08,"100,000,000 APOLLO",1.87
663,ApolloX APX APX,0.08,0.00,-0.03,-0.07,"2,479,599.00","40,248,663.00","528,353,359 APX",0.25,0.04,"4,168,952,331.55 APX",0.05
328,Aragon ANT ANT,3.89,0.01,0.02,-0.11,"16,314,211.00","148,019,612.00","39,609,523 ANT",14.79,0.29,"39,609,523.81 ANT",2.64
985,Arcblock ABT ABT,0.13,0.00,0.01,-0.08,"1,803,108.00","13,123,075.00","98,554,305 ABT",1.66,0.05,"186,000,000 ABT",1.20
775,Ardana DANA DANA,1.66,0.00,0.01,-0.10,"163,565.00","27,129,061.00","20,031,250 DANA",10.84,0.71,"125,000,000 DANA",6.55
264,Ardor ARDR ARDR,0.21,0.00,0.00,-0.03,"7,087,646.00","210,217,202.00","998,999,495 ARDR",2.55,0.01,"998,999,495 ARDR",0.03
870,Arianee ARIA20 ARIA20,0.70,-0.01,0.05,0.09,"14,930.36","19,319,226.00","27,444,281 ARIA20","17,605.52",0.29,"200,000,000 ARIA20",0.69
831,Ariva ARV ARV,0.00,0.01,-0.01,-0.07,"2,879,031.00","21,793,535.00","72,553,169,190 ARV",0.00,0.00,"93,640,000,000 ARV",0.00
318,Ark ARK ARK,0.94,0.00,0.01,-0.13,"3,187,619.00","154,813,129.00","136,979,515 ARK",10.91,0.03,"161,278,856 ARK",0.07
81,Arweave AR AR,26.35,0.01,0.00,-0.12,"21,969,824.00","1,323,162,957.00","33,394,701 AR",90.94,0.49,"63,190,435 AR",0.88
327,AscendEx Token ASD ASD,0.20,0.00,0.00,-0.05,"2,299,942.00","148,210,077.00","660,615,274 ASD",3.26,0.01,"780,615,274 ASD",
994,Asch XAS XAS,0.11,?,?,?,?,"12,792,136.00","93,355,331 XAS","9,859.07",0.00,"114,855,331 XAS",0.02
146,Astar ASTR ASTR,0.17,0.00,0.08,-0.21,"77,474,438.00","561,313,930.00","3,402,582,645 ASTR",0.34,0.04,"7,000,000,000 ASTR",0.23
176,Astroport ASTRO ASTRO,3.17,0.02,0.06,-0.11,"7,405,909.00","401,630,644.00","110,000,000 ASTRO",4.12,0.09,"1,000,000,000 ASTRO",1.79
949,Atari ATRI ATRI,0.01,-0.06,0.04,-0.20,"76,135.22","14,397,537.00","1,481,092,185 ATRI",0.80,0.00,"1,975,082,183 ATRI",0.25
758,Atletico Madrid Fan Token ATM ATM,4.78,0.00,0.05,-0.07,"7,362,641.00","28,841,703.00","2,086,980 ATM",61.12,1.90,"10,000,000 ATM",4.39
119,Audius AUDIO AUDIO,1.10,0.02,0.03,-0.15,"47,517,420.00","680,808,898.00","713,381,683 AUDIO",4.99,0.08,"1,097,658,974 AUDIO",0.23
419,Augur REP REP,13.53,0.00,0.04,-0.03,"18,066,626.00","94,068,812.00","11,000,000 REP",123.24,0.78,"11,000,000 REP",2.07
276,Aurora AURORA AURORA,8.35,0.00,0.02,-0.25,"2,960,876.00","195,236,890.00","23,580,328 AURORA",35.43,3.31,"1,000,000,000 AURORA",8.94
480,Aurory AURY AURY,7.77,0.00,-0.03,-0.16,"1,946,886.00","73,752,568.00","9,600,000 AURY",23.32,5.24,"100,000,000 AURY",14.02
790,Aurox Token URUS URUS,56.31,0.00,0.02,-0.14,"1,639,750.00","25,729,401.00","521,929 URUS","1,227.72",4.95,"1,000,000 URUS",13.64
468,Automata ATA ATA,0.35,0.01,0.04,-0.10,"4,902,760.00","79,520,654.00","172,252,000 ATA",2.55,0.13,"1,000,000,000 ATA",1.15
13,Avalanche AVAX AVAX,68.16,0.00,-0.02,-0.13,"460,578,096.00","18,357,545,421.00","268,971,877 AVAX",146.22,2.79,"395,891,289.91 AVAX",4.56
524,Avalaunch XAVA XAVA,2.75,0.01,-0.04,-0.14,"687,419.00","61,566,685.00","14,538,635 XAVA",20.20,0.42,"100,000,000 XAVA",2.36
873,Aventus AVT AVT,2.17,0.00,-0.06,-0.13,"385,934.00","19,103,473.00","6,000,000 AVT",11.09,0.03,"10,000,000 AVT",2.54
557,AVINOC AVINOC AVINOC,0.33,0.00,0.04,-0.07,"1,321,334.00","55,348,341.00","389,244,472 AVINOC",0.48,0.00,"1,000,000,000 AVINOC",0.03
42,Axie Infinity AXS AXS,38.43,0.01,0.00,-0.17,"313,412,839.00","2,987,439,075.00","60,907,500 AXS",165.37,0.12,"270,000,000 AXS",0.13
640,Axion AXN AXN,0.00,0.00,0.02,-0.07,"1,134.84","43,431,003.00",,0.00,0.00,"86,862,269,571.82 AXN",0.00
189,Baby Doge Coin BABYDOGE BABYDOGE,0.00,0.00,0.02,-0.15,"7,250,279.00","342,037,488.00","154,334,184,605,719,008 BabyDoge",0.00,0.00,"231,942,258,692,909,000 BabyDoge",0.00
441,Badger DAO BADGER BADGER,8.72,0.00,0.01,-0.04,"4,930,804.00","87,007,317.00","12,539,396 BADGER",89.50,2.77,"21,000,000 BADGER",3.64
344,BakerySwap BAKE BAKE,0.71,0.00,0.03,-0.13,"36,355,797.00","136,540,189.00","193,529,485 BAKE",8.48,0.01,"289,770,788.01 BAKE",0.07
320,Balancer BAL BAL,14.28,0.00,0.00,-0.10,"34,892,334.00","154,227,506.00","6,943,831 BAL",74.77,7.88,"35,725,000 BAL",12.45
844,Banana BANANA BANANA,4.55,0.00,-0.01,-0.20,"34,292.23","20,932,246.00","4,347,932 BANANA",12.77,2.57,"4,347,932 BANANA",10.11
907,Banano BAN BAN,0.01,0.01,0.00,-0.15,"45,999.17","16,460,192.00","1,352,945,769 BAN",0.06,0.00,"1,918,969,224.68",0.00
141,Bancor Network Token BNT BNT,2.17,0.00,0.02,-0.05,"29,811,208.00","572,470,090.00","268,335,709 BNT",23.73,0.12,"268,335,709.19 BNT",3.39
326,Band Protocol BAND BAND,3.60,0.02,0.06,-0.09,"16,196,554.00","149,721,715.00","35,191,821 BAND",23.19,0.20,"100,000,000 BAND",0.80
621,BarnBridge BOND BOND,6.93,0.00,0.03,-0.11,"34,779,374.00","45,856,858.00","6,698,278 BOND",185.93,3.13,"10,000,000 BOND",137.54
100,Basic Attention Token BAT BAT,0.67,0.01,0.01,-0.12,"54,615,462.00","1,005,176,917.00","1,498,036,246 BAT",1.92,0.07,"1,500,000,000 BAT",0.23
709,BEAM BEAM BEAM,0.30,0.00,0.01,-0.17,"3,581,954.00","33,904,445.00","114,175,240 BEAM",3.18,0.10,"114,175,240 BEAM",0.94
388,Beefy.Finance BIFI BIFI,"1,421.35",0.00,0.04,-0.07,"1,218,956.00","110,865,686.00","72,000 BIFI","3,620.35",0.00,"80,000 BIFI",10.41
802,Beethoven X BEETS BEETS,0.30,-0.01,-0.02,-0.32,"1,102,088.00","24,570,938.00",0 BEETS,1.41,0.09,"62,607,897 BEETS",1.23
347,Beldex BDX BDX,0.09,0.00,0.02,-0.01,"1,072,410.00","134,604,171.00","2,973,120,858 BDX",0.17,0.01,"9,903,120,858 BDX",0.07
632,Bella Protocol BEL BEL,0.80,0.00,0.04,-0.09,"4,533,504.00","44,906,850.00","48,000,000 BEL",10.03,0.22,"100,000,000 BEL",3.02
246,BENQI Liquid Staked AVAX SAVAX SAVAX,68.63,0.00,-0.03,-0.12,"5,319,424.00","226,957,143.00",,103.24,21.92,0.00 SAVAX,0.06
699,BEPRO Network BEPRO BEPRO,0.00,0.02,0.02,-0.16,"927,866.00","34,932,147.00","6,764,991,106 BEPRO",0.05,0.00,"10,000,000,000 BEPRO",0.00
346,Beta Finance BETA BETA,0.35,0.00,0.02,-0.10,"9,185,251.00","136,036,390.00","401,666,667 BETA",4.63,0.06,"1,000,000,000 BETA",3.17
335,Bezoge Earth BEZOGE BEZOGE,0.00,-0.01,0.08,-0.28,"496,292.00","141,932,752.00","43,684,567,972,551,832 BEZOGE",0.00,0.00,0.00 BEZOGE,
330,Biconomy BICO BICO,1.20,0.00,0.00,-0.18,"21,170,648.00","146,189,644.00","123,070,352 BICO",21.87,0.36,"1,000,000,000 BICO",16.84
324,Bifrost BFC BFC,0.14,-0.06,0.05,-0.04,"4,103,599.00","148,858,632.00","1,110,129,497 BFC",0.80,0.02,"2,368,584,073 BFC",0.04
947,BigShortBets BIGSB BIGSB,1.56,0.00,-0.01,0.07,"10,037.74","14,521,978.00","7,493,644 BIGSB",1.99,0.00,"99,996,834 BIGSB",0.77
14,Binance USD BUSD BUSD,1.00,0.00,0.00,0.00,"4,472,479,462.00","17,436,432,718.00","17,238,065,696 BUSD",1.11,0.89,"17,238,065,695.54 BUSD",1.00
943,Birake BIR BIR,0.14,0.00,0.04,-0.02,"7,618.14","14,642,181.00","104,109,033 BIR",0.33,0.00,"108,129,249.75 BIR",0.20
200,Biswap BSW BSW,1.34,0.02,0.09,0.11,"292,757,048.00","318,573,353.00","220,490,009 BSW",2.13,0.27,"257,904,694 BSW",0.74
201,Biswap BSW BSW,1.33,0.00,0.08,0.10,"290,958,607.00","316,111,387.00","220,490,009 BSW",2.13,0.27,"257,904,694 BSW",0.74
992,Bitcoin 2 BTC2 BTC2,0.72,0.00,0.02,0.02,49.37,"12,963,981.00","17,954,211 BTC2",36.93,0.01,"17,954,210.59 BTC2",0.42
1,Bitcoin BTC BTC,"40,197.89",0.01,0.03,-0.03,"30,631,124,849.00","766,249,695,918.00","19,036,168 BTC","68,789.63",65.53,"19,036,168 BTC",113.57
28,Bitcoin Cash BCH BCH,310.37,0.01,0.01,-0.06,"347,071,517.00","5,925,289,774.00","19,060,563 BCH","4,355.62",75.08,"19,060,562.5 BCH",384.77
